questionUid,qKey,sourceJsPath,id,standardUnitKey,mappedUnitKey,matchedTerms,includedByForwardScan,status
h1:original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_13,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_13,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,13,H15-SB-01,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,17,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_18,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,18,H15-SB-01,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_19,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,19,H15-SB-06,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_금당고_2학기_기말_고1_기출.js,21,H15-SB-04,,직선의 방정식|원의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_8,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js,8,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js,14,H15-SB-05,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_매산고_2학기_기말_고1_기출.js,17,H15-SB-03,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,7,H15-SB-05,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_12,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_12,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,12,H15-SB-04,,직선의 방정식|도형의 이동,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_14,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,14,H15-SB-03,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_21,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,21,H15-SB-04,,평면좌표|직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js_22,original/high/h1/2final/22_복성고_2학기_기말_고1_기출.js,22,H15-SB-03,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_7,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,7,H15-SB-04,,평면좌표,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_9,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_9,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,9,H15-SA-11,H22-C2-03,평면좌표|직선의 방정식|원의 방정식,true,INCLUDED_CONFIRMATION
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_17,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,17,H15-SB-05,,직선의 방정식,false,REVIEW_REQUIRED
h1:original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js_20,original/high/h1/2final/22_순천여고_2학기_기말_고1_기출.js,20,H15-SB-04,,직선의 방정식,false,REVIEW_REQUIRED
