assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/22_금당고_1학기_기말_고1_기출/q12-solution.svg,024daddd840a23e9215aee23d651daf373c03be63ee6e4a8c4477e18ca9ca5f9,3643,0 0 640 280,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":20,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,70cc4cb801ba23b50de9e9c7779958f0a566f440bfe682a9a19558a88c6b998f
archive/assets/images/22_금당고_1학기_기말_고1_기출/q21-solution.svg,bac06d1a56080aeea72d333cb1816e2c826cc1aa809fd1baa41934a0e0ef3c75,4060,0 0 640 340,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":26,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,2d8d8f252dd0b5875ed2dcb82bdd9e72a4b5edd60c9205f0fe22b545c1308582
archive/assets/images/22_매산고_1학기_기말_고1_기출/q05-solution.svg,cf91be701d9fa061a62c8d28833c5cdfe1aac97f976af243d5f58be785908746,3267,0 0 640 300,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":16,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,af27a2961e8cf5d73e2656737fd98d4c0f061944d274895c7ec9964362474fa7
archive/assets/images/22_매산고_1학기_기말_고1_기출/q10-solution.svg,afcd2104a13cb764593da2aae90abb4f90478c89685165ccc2f2512c97e517c7,7922,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":33,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":39,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,062602b40418ee0bc74bf1d6d69dbbfa069e379a02ccdc4b4221f0705ec7e59d
archive/assets/images/22_매산고_1학기_기말_고1_기출/q14-solution.svg,d837800ecdd19ca3e00d2f9a9c4a933e4fe5d5f955846070b2bd5d961ce869e6,3908,0 0 640 300,,"{""svg"":1,""circle"":5,""ellipse"":0,""line"":19,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":15,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,f7308d23f29855d1ad1d4fddbfce115fe43981046b8fc303458b16c746645240
archive/assets/images/22_매산고_1학기_기말_고1_기출/q18-solution.svg,22f10365b138dba9dd9cecb9c1aae36816a8cc6682823e3a5f2826b176108c90,3864,0 0 640 300,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":20,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":15,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,5864caac6429252de62018125fb871c83601355aa3125a7115670289884bf36b
archive/assets/images/22_매산고_1학기_기말_고1_기출/q19-solution.svg,33ed13dae6c8bccfe5fdce29ee849cb3513229cc417fc08927ea5b3bd6855751,4394,0 0 640 320,,"{""svg"":1,""circle"":8,""ellipse"":0,""line"":18,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":16,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,424a7578d7b1646783df07c9fe5af7827db9b9d0e7a411d5acd9433ff8781c26
archive/assets/images/22_복성고_1학기_기말_고1_기출/q03-solution.svg,8f63bf4e89956f27e257490103fb9a9af1bca79c884fbd1688df06cdcd475531,7374,0 0 720 360,xMidYMid meet,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":32,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":38,""g"":0,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,92283ea769be25bf36563164d21a0189dd2e36cfc6d5bc177c18360dc592f7eb
archive/assets/images/22_복성고_1학기_기말_고1_기출/q12-solution.svg,bed80bcccb6e533a7e79ad6f79092ea5c0bc92d443f78c9c2d8116ccc6d284dc,3295,0 0 640 280,,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":15,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,48f4c16b38d53cfe14ee54c1bc7299603125693f56245826f244947b8c9e21bc
archive/assets/images/22_복성고_1학기_기말_고1_기출/q15-solution.svg,5160d53a4523e29b12338788bc129fae7ab8e1cce22ad14464d108d0df54da55,3671,0 0 640 280,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":18,""polyline"":0,""polygon"":0,""path"":0,""rect"":3,""text"":13,""g"":1,""defs"":0,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,38e35efa0d44520e74ea9774f076c3cc1c945276a775d1597a339fb8845e1425
