questionUid,sourceJsPath,examTitle,id,standardCourse,standardUnitKey,standardUnit,subUnitKey,hasImage,imageExists,inlineSvgInContent,inlineSvgInSolution,visualTag,cueInContent
"23_팔마고_1학기_기말_고2_수학I::q18","exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","23_팔마고_1학기_기말_고2_수학I","18","수학I","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","false","false","false","false","false","true"
"23_팔마고_1학기_기말_고2_수학I::q19","exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","23_팔마고_1학기_기말_고2_수학I","19","수학I","H15-M1-08","등차수열","H15-M1-08-ARITHMETIC_SEQUENCE","false","false","false","false","false","false"
"23_팔마고_1학기_기말_고2_수학I::q20","exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","23_팔마고_1학기_기말_고2_수학I","20","수학I","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","true","true","false","false","true","true"
"23_팔마고_1학기_기말_고2_수학I::q21","exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","23_팔마고_1학기_기말_고2_수학I","21","수학I","H15-M1-07","삼각방정식과 삼각부등식","H15-M1-07-TRIGONOMETRIC_INEQUALITY","false","false","false","false","false","true"
"23_팔마고_1학기_기말_고2_수학I::q22","exams/original/high/h2/1final/23_팔마고_1학기_기말_고2_수학I.js","23_팔마고_1학기_기말_고2_수학I","22","수학I","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q1","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","1","대수","H15-M1-08","등차수열","H15-M1-08-SEQUENCE_TERM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q2","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","2","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q3","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","3","대수","H15-M1-08","등차수열","H15-M1-08-ARITHMETIC_SEQUENCE","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q4","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","4","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q5","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","5","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","false","false","false","false","false","true"
"24_강남여고_1학기_기말_고2_수학I::q6","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","6","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","true","true","false","false","true","true"
"24_강남여고_1학기_기말_고2_수학I::q7","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","7","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","true","true","false","false","true","true"
"24_강남여고_1학기_기말_고2_수학I::q8","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","8","대수","H15-M1-09","등비수열","H15-M1-09-GEOMETRIC_SEQUENCE","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q9","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","9","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","false","false","false","false","false","true"
"24_강남여고_1학기_기말_고2_수학I::q10","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","10","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q11","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","11","대수","H15-M1-09","등비수열","H15-M1-09-GEOMETRIC_SEQUENCE","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q12","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","12","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","false","false","false","false","false","true"
"24_강남여고_1학기_기말_고2_수학I::q13","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","13","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q14","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","14","대수","H15-M1-09","등비수열","H15-M1-09-GEOMETRIC_SEQUENCE","false","false","false","false","false","true"
"24_강남여고_1학기_기말_고2_수학I::q15","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","15","대수","H15-M1-09","등비수열","H15-M1-09-SEQUENCE_TERM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q16","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","16","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q17","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","17","대수","H15-M1-05","삼각함수의 뜻과 값","H15-M1-05-TRIGONOMETRIC_DEFINITION","true","true","false","false","true","true"
"24_강남여고_1학기_기말_고2_수학I::q18","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","18","대수","H15-M1-08","등차수열","H15-M1-08-ARITHMETIC_SEQUENCE","false","false","false","false","false","false"
"24_강남여고_1학기_기말_고2_수학I::q19","exams/original/high/h2/1final/24_강남여고_1학기_기말_고2_수학I.js","24_강남여고_1학기_기말_고2_수학I","19","대수","H15-M1-10","수열의 합","H15-M1-10-SEQUENCE_SUM","true","true","false","false","true","true"
