assetPath,assetSha256,byteCount,viewBox,preserveAspectRatio,primitiveCounts,staticXmlStatus,forbiddenNodes,observedFactHash
archive/assets/images/21_제일고_2학기_중간_고1_기출/q14-solution.svg,e14e45cb8b81b3e05b3e564aae73863fa5a8d3c6317e86fb518856a4d178c08b,4356,0 0 720 360,,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":26,""polyline"":0,""polygon"":0,""path"":3,""rect"":4,""text"":9,""g"":0,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,9032444c7633882d2801e7967d71aae8d3c4ad3f0cf959b46c4969028bcc1d2c
archive/assets/images/21_제일고_2학기_중간_고1_기출/q19-solution.svg,502b8b8e2d5e2bfe0da3ef31dd1dee70e7ed9e59adcfb8528187c70c30fa908c,3731,0 0 720 360,,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":19,""polyline"":0,""polygon"":0,""path"":1,""rect"":2,""text"":9,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,6171efc1695ada6b77a58113ac1133a8d43590867d50cc9e93d51bdcd8217f81
archive/assets/images/21_효천고_2학기_기말_고1_기출/q01-solution.svg,1397e952893ebe40c6f564c29a7feb1a2dc3f815b327c0fcee1b8c27041f1897,4722,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":0,""ellipse"":0,""line"":29,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":11,""g"":0,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,23c2002c36e09166c9be65cbb552af053ad2983574164625b7991996a5052439
archive/assets/images/21_효천고_2학기_중간_고1_기출/q05-solution.svg,bb3d21124d94cc298ce000f3a3d37a7f831dc3566e8c222822e037a3334cdfc7,4476,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":22,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":11,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,ec73883ecf2729bb96e260bac66c3ff48516ba7d6b23a1d1d355e3824a1c9e71
archive/assets/images/21_효천고_2학기_중간_고1_기출/q08-solution.svg,d5eeb726cfc5706c32b483641cbea9d890b57441741385c3e755e1e0edf45291,6302,0 0 720 360,,"{""svg"":1,""circle"":6,""ellipse"":0,""line"":32,""polyline"":0,""polygon"":0,""path"":5,""rect"":2,""text"":10,""g"":0,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,c30e85330a953cc5ff2faddb8910338e14de9723993cb0c773db4713c33906e6
archive/assets/images/21_효천고_2학기_중간_고1_기출/q19-solution.svg,05f4fa8afc75f1caa4d14df0d053f110fe110ba68e7c4ff426c85a8b4cf0ec82,4551,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":1,""ellipse"":0,""line"":23,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":13,""g"":1,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,f24f57ae864d52e16774a66d69f1d9f79db2aa010b4097606ab584aafcdd4927
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q09-solution.svg,6bb1837b380eabb049997cb08b4f14934699ce828ab76c39e9a9b417fd0eed92,4688,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":25,""polyline"":0,""polygon"":1,""path"":1,""rect"":3,""text"":10,""g"":3,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,984192ac2d33846d10831b5eb21c7671fa1808d4e3bc1880fead47c1a49f8436
archive/assets/images/22_강남여고_2학기_중간_고1_기출/q23-solution.svg,0b1bb3b126d37df3b23107c6e361eebf91e28ab8121f6f4af0ce1eaf2db7bb1b,4884,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":3,""ellipse"":0,""line"":25,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":10,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,6c73b08d245f5936956a5e96b8cb9c450bd33b1c06559562d3cc3bba519efd65
archive/assets/images/22_금당고_1학기_기말_고1_기출/q01-solution.svg,f6e10abf5563ecc36cd26465ab7f915e8834b1757caf71ddfe7cf898271a62b0,4869,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":2,""ellipse"":0,""line"":28,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":10,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,14981f7699d6bc4bae4209b2d6cc9258094d59fad940f41bd3101e4bf693c240
archive/assets/images/22_금당고_1학기_기말_고1_기출/q07-solution.svg,d2788a3f63e34d133db1461b53c710e2a848db661333b3e18bb16d82e31ab1fc,4347,0 0 940 480,xMidYMid meet,"{""svg"":1,""circle"":4,""ellipse"":0,""line"":21,""polyline"":0,""polygon"":0,""path"":1,""rect"":3,""text"":9,""g"":2,""defs"":1,""use"":0,""image"":0,""foreignObject"":0,""script"":0}",STATIC_ROOT_SHAPE_PASS,,0c7336e37f1e3f45be2d252b85dd5202da23b648655f557823c2f5a7a717546d
